Element Path,Addition,Removal,Value Change,Optional → Required,Required → Optional,Type/Range Expansion,Type/Range Restriction
$.oldSpecOpenApi,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.newSpecOpenApi,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].path,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].method,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.newEndpoints[*].summary,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].path,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].method,N/A,Breaking*,N/A,N/A,N/A,N/A,N/A
$.missingEndpoints[*].summary,N/A,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations,N/A,N/A,Depends**,N/A,N/A,N/A,N/A
$.changedOperations[*].pathUrl,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].httpMethod,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].oldOperation,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].newOperation,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].operationId,Non-breaking,Non-breaking,Breaking*,N/A,N/A,N/A,N/A
$.changedOperations[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.increased,Non-breaking,N/A,N/A,Breaking***,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.increased[*],Non-breaking***,N/A,N/A,Breaking***,N/A,N/A,N/A
$.changedOperations[*].parameters.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].name,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].in,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.changed[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].style,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].explode,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].allowReserved,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].parameters.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].parameters.changed[*].content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody,Breaking***,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].requestBody.content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].requestBody.content.changed[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].required,N/A,N/A,N/A,Breaking,Non-breaking,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].headers.changed[*].deprecated,Non-breaking,Non-breaking,Non-breaking**,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.increased,Non-breaking,N/A,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.missing,N/A,Breaking,N/A,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed[*].schema,N/A,N/A,Depends***,N/A,N/A,N/A,N/A
$.changedOperations[*].apiResponses.changed[*].content.changed[*].examples,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.changedOperations[*].securityRequirements,Non-breaking,Non-breaking,Breaking****,N/A,N/A,Breaking,Non-breaking
