Element Path (JSON Path),Addition,Removal,Value Change,Optional → Required,Required → Optional,Type/Range Expansion,Type/Range Restriction
$.openapi,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.info,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.info.title,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.info.summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.termsOfService,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.info.contact.name,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact.url,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.contact.email,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A,N/A
$.info.license.name,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license.url,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.license.identifier,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.info.version,N/A,N/A,Non-breaking,N/A,N/A,N/A,N/A
$.jsonSchemaDialect,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.servers[*],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].url,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.servers[*].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.servers[*].variables,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}].enum,Non-breaking,Breaking,N/A,N/A,N/A,Non-breaking,Breaking
$.servers[*].variables[:{name}].default,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.servers[*].variables[:{name}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths,Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}].$ref,N/A,N/A,Breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}],Non-breaking,Breaking,N/A,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].tags,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].summary,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].description,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].externalDocs,Non-breaking,Non-breaking,Non-breaking,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].operationId,Non-breaking,Non-breaking,Breaking*,N/A,N/A,N/A,N/A
$.paths[:{path}][:{method}].parameters[*],Breaking***,Breaking,N/A,N/A,N/A,N/A,N/A
